epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,840.668,0.46108,0.82979,1,0.50277,0.0676804,0.000999576,0.000999576
2,1585.65,0.31521,0.96347,1,0.10406,0.035281,0.00193359,0.00193359
3,2330.01,0.22357,0.978,1,0.05737,0.00281572,0.0028016,0.0028016
4,3087.3,0.16001,0.99087,1,0.0237,0.002703,0.002703,0.002703
5,3839.2,0.12748,0.9978,1,0.00678,0.002604,0.002604,0.002604
6,4586.66,0.10096,0.99604,1,0.01422,0.002505,0.002505,0.002505
7,5335.88,0.09141,0.99538,1,0.01675,0.002406,0.002406,0.002406
8,6092.59,0.07967,0.99604,1,0.00873,0.002307,0.002307,0.002307
9,6847.12,0.06749,0.99626,1,0.00877,0.002208,0.002208,0.002208
10,7588.16,0.06217,0.99692,1,0.00799,0.002109,0.002109,0.002109
